id,country,state,city,zip,latitude,longitude
99,US,PR,Villas De Almeria,00603,18.43,-67.15
100,US,PR,Vista Alegre,00603,18.43,-67.15
101,US,PR,Vista Verde,00603,18.43,-67.15
102,US,PR,Aguadilla,00604,18.43,-67.15
103,US,PR,Ramey,00604,18.43,-67.15
104,US,PR,Aguadilla,00605,18.43,-67.15
105,US,PR,Aguas Buenas,00703,18.25,-66.1
106,US,PR,Est Del Rio,00703,18.25,-66.1
107,US,PR,Mans De Aguas Buenas,00703,18.25,-66.1
108,US,PR,Urb San Antonio,00703,18.25,-66.1
109,US,PR,Aguirre,00704,17.96,-66.22
110,US,PR,Est De Trinitaria,00704,17.96,-66.22
111,US,PR,Ext El Coqui,00704,17.96,-66.22
112,US,PR,Parc Cabasa,00704,17.96,-66.22
113,US,NJ,Monitor,07093,40.78,-74.0
114,US,NJ,Taurus,07093,40.78,-74.0
115,US,NJ,Westwood,07675,40.98,-74.03
116,US,NJ,Old Tappan,07675,40.98,-74.03
117,US,NJ,River Vale,07675,40.98,-74.03
118,US,NJ,Rivervale,07675,40.98,-74.03
119,US,NJ,Woodcliff Lake,07677,41.02,-74.05
120,US,NJ,Westwood,07677,41.02,-74.05
121,US,NJ,Woodcliff Lk,07677,41.02,-74.05
122,US,NJ,Wharton,07885,40.89,-74.58
123,US,NJ,Whippany,07981,40.82,-74.41
124,US,NJ,Whippany,07999,40.82,-74.41
125,US,NJ,Whitehouse,08888,40.62,-74.76
126,US,NJ,Whitehouse Station,08889,40.6,-74.76
127,US,NJ,White Hse Sta,08889,40.6,-74.76
128,US,NJ,White House Station,08889,40.6,-74.76
129,US,NJ,Woodbridge,07095,40.55,-74.28
130,US,NJ,Wyckoff,07481,40.99,-74.16
131,US,NY,Bronx,10451,40.84,-73.87
132,US,NY,Bronx,10452,40.84,-73.87
133,US,NY,Highbridge,10452,40.84,-73.87
134,US,NY,Stadium,10452,40.84,-73.87
135,US,NY,University Heights,10452,40.84,-73.87
136,US,NY,Bronx,10453,40.84,-73.87
137,US,NY,Bronx,10454,40.84,-73.87
